Date,IBOV,Carteira,Markowitz,Selic
2025-03-20,109848.07492195626,104245.69734488988,106720.8829374882,102613.97488502541
2025-03-21,110172.73673257019,104713.3447938765,107010.60363916821,102667.87903217228
2025-03-24,109320.29136316333,103817.47760315271,106115.98245772364,102721.81149570667
2025-03-25,109942.14360041618,104539.16083528474,106345.5410386496,102775.77229050348
2025-03-26,110318.41831425595,105594.71816756387,107243.995148559,102829.7614314454
2025-03-27,110842.03954214355,106240.47642341393,107655.36291609508,102883.77893342296
2025-03-28,109803.95421436,105172.88823406829,106897.35623823018,102937.82481133446
2025-03-31,108437.0447450572,104315.48799316697,106470.75894603286,102991.8990800861
2025-04-01,109175.44224765865,104921.38678917679,107100.50985026662,103046.00175459187
2025-04-02,109211.23829344427,105214.24867171003,106733.85534507211,103100.13284977357
2025-04-03,109170.44745057228,105561.49201232397,107130.01179490589,103154.29238056089
2025-04-04,105936.31633714875,102422.37719547506,104639.92204365047,103208.48036189131
2025-04-07,104547.76274713835,100340.13986699103,102299.03694248026,103262.69680871023
2025-04-08,103169.19875130069,99645.91373102597,101711.5908178082,103316.94173597082
2025-04-09,106385.8480749219,103205.38097921637,104355.54032347117,103371.21515863415
2025-04-10,105186.26430801244,100831.80074090065,101749.92145520408,103425.51709166911
2025-04-11,106290.94693028092,102006.72627506705,102704.58374378808,103479.84755005255
2025-04-14,107766.07700312171,102503.04759595919,103171.98779136743,103534.20654876906
2025-04-15,107592.09157127987,102047.73688570721,103142.89433874286,103588.59410281118
2025-04-16,106819.56295525489,102128.5845520954,103263.61995571731,103643.01022717931
2025-04-17,107929.24037460974,103058.00478959052,104432.86859015487,103697.45493688177
2025-04-22,108606.8678459937,103384.44133151001,104752.38837930521,103751.92824693465
2025-04-23,110065.34859521325,103826.1255826229,105401.76035810036,103806.43017236204
2025-04-24,112033.29864724237,106481.04944578666,106867.87676581793,103860.96072819589
2025-04-25,112165.66077003111,106988.9818591544,107258.9527318478,103915.51992947601
2025-04-28,112396.25390218511,107401.67567809511,107282.2719347931,103970.10779125015
2025-04-29,112460.35379812682,108190.87189262011,107852.24192075938,104024.72432857397
2025-04-30,112438.70967741922,108790.83104468179,108613.77994933799,104079.36955651101
2025-05-02,112494.48491155035,109997.34620414239,109278.6410031802,104134.04349013274
2025-05-05,111126.74297606647,108759.28531061302,108130.27563178849,104188.74614451855
2025-05-06,111147.554630593,109002.72330180493,109091.14171608852,104243.47753475572
2025-05-07,111049.32362122777,108928.51045054199,109294.19253108135,104298.23767593948
2025-05-08,113408.53277835576,110996.24458388014,109625.60801602995,104354.83615759671
2025-05-09,113641.62330905296,111556.91937068105,110324.06850393965,104411.465352986
2025-05-12,113684.0790842871,112162.06173632391,109771.13878142774,104468.12527877445
2025-05-13,115681.99791883444,114346.14393053435,111911.63606489231,104524.81595163823
2025-05-14,115232.46618106129,114608.77635949492,112713.6286806933,104581.53738826254
2025-05-15,115990.84287200823,115751.1896054341,113104.79116231289,104638.28960534168
2025-05-16,115868.47034339221,116171.94646481005,113406.58658051779,104695.07261957892
2025-05-19,116242.24765868878,117567.20036208292,113990.87984704548,104751.88644768664
2025-05-20,116636.8366285119,118318.85137073116,114619.72880024562,104808.73110638636
2025-05-21,114781.26951092604,116099.61649929889,112951.63871304377,104865.60661240856
2025-05-22,114275.13007284071,115514.53971859571,112515.57213551886,104922.51298249284
2025-05-23,114733.81893860553,116336.79499561954,113746.43989629221,104979.45023338792
2025-05-26,114993.54838709667,117325.75207859126,114740.80485931264,105036.41838185159
2025-05-27,116163.16337148793,119440.13891675562,117071.28540683031,105093.41744465068
2025-05-28,115619.56295525483,120204.36183552135,117717.19102645745,105150.44743856118
2025-05-29,115324.86992715912,121501.50161457637,119600.58286049173,105207.5083803682
2025-05-30,114070.34339229958,120019.647865693,117956.75955848584,105264.60028686591
2025-06-02,113870.55150884484,119739.18097291273,117289.50936495166,105321.72317485757
2025-06-03,114502.39334027044,121679.77654074144,118452.83331238579,105378.87706115565
2025-06-04,114049.53173777304,120395.03346185286,117249.09789616567,105436.06196258166
2025-06-05,113411.86264308,119732.91761798582,116079.72418933494,105493.27789596627
2025-06-06,113300.3121748178,119155.90755469949,116387.55173831072,105550.52487814931
2025-06-09,112964.82830385007,118981.63255952619,115752.09086538172,105607.80292597969
2025-06-10,113578.35587929233,119797.55140904852,116429.84994869871,105665.1120563155
2025-06-11,114154.4224765868,120392.58636701989,117354.59655423992,105722.452286024
2025-06-12,114713.83975026006,121175.29784427004,118549.4909912435,105779.82363198153
2025-06-13,114225.18210197703,121745.88806539646,119313.9062274604,105837.22611107367
2025-06-16,115925.91050988545,122480.92250179776,119508.96208856268,105894.6597401951
2025-06-17,115579.60457856391,122777.20944470874,120127.51796909065,105952.12453624971
2025-06-18,115477.21123829336,122998.56033285821,120037.20339724151,106009.62051615055
2025-06-20,114144.43288241407,122285.22049624729,120231.13205755205,106068.0646800373
2025-06-23,113674.08949011438,123474.98690623256,120517.38628753541,106126.54106477609
2025-06-24,114185.22372528605,124215.60970837495,121086.62571505267,106185.04968813052
2025-06-25,113021.43600416223,122237.38703946608,119208.4582043621,106243.5905678741
2025-06-26,114142.76795005192,124102.70920757673,120905.40228682471,106302.16372179007
2025-06-27,113936.31633714869,125114.27575269461,121869.48292115003,106360.76916767155
2025-06-30,115592.09157127979,126550.61900129286,123280.19810042925,106419.4069233214
2025-07-01,116169.8231009364,126853.91041882122,124039.69469781213,106478.0770065523
