Date,IBOV,Carteira,Markowitz,Selic
2025-06-02,113870.55150884484,134124.79491403705,120838.43196389545,105321.72317485757
2025-06-03,114502.39334027044,136016.22940022816,121929.94118304254,105378.87706115565
2025-06-04,114049.53173777304,135276.14401659736,121940.21668148042,105436.06196258166
2025-06-05,113411.86264308,134485.86890281417,121472.99298079066,105493.27789596627
2025-06-06,113300.3121748178,133086.84296375714,121469.28118886697,105550.52487814931
2025-06-09,112964.82830385007,132580.2666106061,120736.71463702575,105607.80292597969
2025-06-10,113578.35587929233,134433.4850537189,121415.79912695728,105665.1120563155
2025-06-11,114154.4224765868,134184.5035842066,121242.00203881347,105722.452286024
2025-06-12,114713.83975026006,133331.59063835393,120818.17572065536,105779.82363198153
2025-06-13,114225.18210197703,131846.60373757884,121117.09327493043,105837.22611107367
2025-06-16,115925.91050988545,133697.72377287096,121816.36974046186,105894.6597401951
2025-06-17,115579.60457856391,134284.20293158834,121499.67990686368,105952.12453624971
2025-06-18,115477.21123829336,134508.11228198488,121599.28521231069,106009.62051615055
2025-06-20,114144.43288241407,133232.95660529155,121839.36600587741,106068.0646800373
2025-06-23,113674.08949011438,133469.7774042116,122252.43291763299,106126.54106477609
2025-06-24,114185.22372528605,135537.65278244505,123018.676697167,106185.04968813052
2025-06-25,113021.43600416223,135682.113763853,121156.79425425416,106243.5905678741
2025-06-26,114142.76795005192,138468.38341613993,124183.93929484564,106302.16372179007
2025-06-27,113936.31633714869,139594.3028331749,124005.91040610554,106360.76916767155
2025-06-30,115592.09157127979,141154.5208269694,125510.55172470924,106419.4069233214
2025-07-01,116169.8231009364,142058.3542080523,125212.16965035362,106478.0770065523
2025-07-02,115755.25494276783,139018.65968678403,124367.40811286226,106536.77943518678
2025-07-03,117317.79396462008,142523.34680907178,126154.61278416982,106595.5142270572
2025-07-04,117775.65036420383,141754.15244752972,126765.32807359342,106654.28140000573
2025-07-07,116120.7075962538,141463.23683333298,126105.00191631568,106713.08097188437
2025-07-08,115965.0364203953,140266.7357032328,125413.52573209122,106771.912960555
2025-07-09,114448.28303850145,138696.68553136644,124761.0487708998,106830.77738388929
2025-07-10,113833.92299687813,136986.3020086638,124167.18066925947,106889.67425976881
2025-07-11,113371.071800208,134613.27427594815,123649.01417511718,106948.60360608497
2025-07-14,112631.8418314255,132928.2190115834,122841.86065578749,107007.56544073905
2025-07-15,112591.05098855348,134123.5338176731,122894.67235067234,107066.55978164221
2025-07-16,112808.3246618105,133638.99321583915,123342.86424505645,107125.58664671543
2025-07-17,112853.27783558783,133864.29567797043,123627.43467756925,107184.64605388965
2025-07-18,111036.00416233082,131244.22435842655,122880.2931990661,107243.73802110563
2025-07-21,111689.490114464,131821.30718014014,122853.34480814986,107302.86256631406
2025-07-22,111580.43704474496,130290.96535988743,121608.81360548001,107362.0197074755
2025-07-23,112689.28199791875,132296.09195011904,122050.21430337624,107421.20946256044
2025-07-24,111390.63475546298,130358.29979111579,121253.86018065567,107480.43184954925
2025-07-25,111154.21436004154,128854.4956715187,121202.81774422806,107539.68688643223
2025-07-28,109992.92403746088,126911.81726290127,121109.4210582071,107598.9745912096
2025-07-29,110489.90634755454,128253.82466181768,121174.60612165583,107658.29498189148
2025-07-30,111542.14360041614,130201.96317896478,121301.61443969616,107717.64807649795
2025-07-31,110777.10718002071,129205.39335942562,121372.36968280589,107777.03389305902
2025-08-01,110249.32362122778,130089.73880278418,121053.67884351006,107836.45244961462
2025-08-04,110693.86056191457,130635.0306923642,120779.83178627337,107895.90376421463
2025-08-05,110843.70447450562,131150.29020940873,121020.6504666925,107955.3878549189
2025-08-06,111998.33506763779,134849.5243244502,121759.17223797421,108014.9047397972
2025-08-07,113654.94276794996,134233.03538904362,122755.99872874623,108074.45443692931
2025-08-08,113142.9760665972,132671.9129060818,123553.72034319125,108134.03696440495
2025-08-11,112901.5608740894,132484.05644221534,123602.9020511471,108193.65234032381
2025-08-12,114808.74089490106,134530.4123573828,124253.84169050319,108253.30058279556
2025-08-13,113787.30489073871,132368.67771182075,122959.98591230619,108312.98170993988
2025-08-14,113511.7585848074,131024.22006999602,122133.56580724359,108372.69573988639
2025-08-15,113499.27159209148,130566.73686310025,121598.54644885512,108432.44269077477
2025-08-18,114315.9209157127,132448.18493563932,123275.70715490708,108492.22258075462
2025-08-19,111910.09365244527,129920.57025332983,121792.66472377384,108552.03542798561
2025-08-20,112105.72320499468,130813.88949318785,122244.8059480674,108611.88125063744
2025-08-21,111975.85848074908,130758.67099420379,122389.51422046957,108671.76006688972
2025-08-22,114853.69406867833,134103.0548718259,124497.32322279125,108731.67189493221
2025-08-25,114901.14464099883,134435.04949873645,124302.80886713155,108791.6167529646
2025-08-26,114689.69823100926,134479.23331721014,124780.16830123262,108851.5946591967
2025-08-27,115884.28720083238,135900.54143387737,125549.05393253813,108911.60563184827
2025-08-28,117418.52237252852,137742.28816906078,125970.73136307653,108971.64968914918
2025-08-29,117729.03225806441,137915.77994655544,126577.08695207814,109031.72684933933
2025-09-01,117481.78980228919,138557.33163680157,126388.8865579317,109091.83713066866
2025-09-02,116824.1415192507,136732.5662730319,124912.5795202783,109151.98055139717
2025-09-03,116432.04994797077,136349.80949419166,124821.46597397406,109212.15712979497
2025-09-04,117371.90426638906,138050.2147551983,126286.7165862775,109272.36688414222
2025-09-05,118742.97606659716,139593.36541581366,127003.36999267043,109332.60983272913
2025-09-08,118037.0447450571,138274.9922082737,125521.9781078787,109392.88599385602
2025-09-09,117892.1956295524,137041.00829415617,125288.68191193447,109453.19538583329
2025-09-10,118500.72840790826,138530.49655332536,126392.56524245959,109513.53802698148
2025-09-11,119168.36628511948,139872.6458919659,126681.45136346034,109573.91393563114
2025-09-12,118436.62851196653,139078.0769063283,126389.01678957535,109634.323130123
2025-09-15,119498.02289281979,139733.05878989815,126670.34832103386,109694.76562880789
2025-09-16,119926.74297606641,141279.894329366,126471.66123816889,109755.24145004671
2025-09-17,121202.08116545247,141889.04194020646,127683.17046457098,109815.75061221054
2025-09-18,121123.82934443271,141614.5811431416,127331.57039533727,109876.29313368056
2025-09-19,121427.67950052011,142193.559453998,127794.51022586098,109936.86903284812
2025-09-22,120798.3350676377,140533.72624171487,127598.35786707838,109997.47832811462
2025-09-23,121893.86056191451,142084.76033510076,128563.97628969504,110058.1210378917
2025-09-24,121949.63579604564,141739.02075418484,128517.86717955087,110118.79718060112
2025-09-25,120962.33090530681,140481.81688203602,128411.03478121714,110179.50677467477
2025-09-26,121079.70863683645,141123.14379261935,128779.9527928248,110240.24983855472
2025-09-29,121820.6035379811,141425.62459678686,129339.1771998959,110301.02639069321
2025-09-30,121737.35691987495,141404.8885401732,130643.60949156308,110361.83644955269
2025-10-01,121137.98126951074,141040.4004869765,130708.83227762548,110422.68003360569
2025-10-02,119833.50676378755,138899.9845934379,129928.45877489068,110483.55716133502
2025-10-03,120042.45577523396,139253.66252866,129415.33183591574,110544.46785123364
2025-10-06,119548.80332986455,137351.32929914084,128911.45190751982,110605.41212180471
2025-10-07,117674.08949011429,134842.72915018076,127663.55552157205,110666.38999156158
